Timestamp,Sequence,Mode,HS_V,LS_V,HS_A,LS_A,Faults
16:33:01.859,BUCK_CHG,0,46.84,29.05,0.0,0.0,None
16:33:01.959,BUCK_CHG,2,46.89,29.05,0.0,0.0,None
16:33:02.059,BUCK_CHG,5,46.86,29.08,0.0,0.0,None
16:33:02.160,BUCK_CHG,5,46.84,29.04,0.0,0.0,None
16:33:02.260,BUCK_CHG,5,46.86,29.04,0.0,0.0,None
16:33:02.360,BUCK_CHG,5,46.94,29.05,0.0,0.0,None
16:33:02.461,BUCK_CHG,5,46.86,29.05,0.0,0.0,None
16:33:02.562,BUCK_CHG,5,46.91,29.04,0.0,0.0,None
16:33:02.662,BUCK_CHG,5,46.94,29.04,0.0,0.0,4_HS_UVP
16:33:02.762,BUCK_CHG,5,46.84,29.04,0.0,0.0,4_HS_UVP
16:33:02.862,BUCK_CHG,5,46.97,29.05,0.0,0.0,4_HS_UVP
16:33:02.962,BUCK_CHG,5,46.91,29.05,0.0,0.0,4_HS_UVP
16:33:03.063,BUCK_CHG,5,46.91,29.05,0.0,0.0,4_HS_UVP
16:33:03.164,BUCK_CHG,5,46.91,29.07,0.0,0.0,None
16:33:03.264,BUCK_CHG,5,46.91,29.04,0.0,0.0,None
16:33:03.364,BUCK_CHG,5,46.91,29.04,0.0,0.0,None
16:33:03.464,BUCK_CHG,5,46.86,29.05,0.0,0.0,None
16:33:03.565,BUCK_CHG,5,46.86,29.05,0.0,0.0,None
16:33:03.665,BUCK_CHG,5,46.91,29.05,0.0,0.0,None
16:33:03.766,BUCK_CHG,5,46.84,29.05,0.0,0.0,None
16:33:03.866,BUCK_CHG,5,46.86,29.05,0.0,0.0,None
16:33:03.967,BUCK_CHG,5,46.91,29.05,0.0,0.0,None
16:33:04.067,BUCK_CHG,5,46.84,29.05,0.0,0.0,None
16:33:04.168,BUCK_CHG,5,46.86,29.04,0.0,0.0,None
16:33:04.269,BUCK_CHG,5,46.89,29.05,0.0,0.0,None
16:33:04.369,BUCK_CHG,5,46.86,29.05,0.0,0.0,None
16:33:04.469,BUCK_CHG,5,46.89,29.05,0.0,0.0,None
16:33:04.570,BUCK_CHG,5,46.84,29.05,0.0,0.0,None
16:33:04.671,BUCK_CHG,5,46.81,29.04,0.0,0.0,None
16:33:04.771,BUCK_CHG,5,46.89,29.04,0.0,0.0,None
16:33:04.872,BUCK_CHG,5,46.89,29.05,0.0,0.0,None
16:33:04.972,BUCK_CHG,5,46.86,29.04,0.0,0.0,None
16:33:05.072,BUCK_CHG,5,46.86,29.05,0.0,0.0,None
16:33:05.173,BUCK_CHG,5,46.86,29.04,0.0,0.0,None
16:33:05.273,BUCK_CHG,5,46.81,29.05,0.0,0.0,None
16:33:05.374,BUCK_CHG,5,46.89,29.08,0.0,0.0,None
16:33:05.475,BUCK_CHG,5,46.91,29.05,0.0,0.0,None
16:33:05.575,BUCK_CHG,5,46.86,29.05,0.0,0.0,None
16:33:05.676,BUCK_CHG,5,46.86,29.05,0.0,0.0,None
16:33:05.776,BUCK_CHG,5,46.86,29.05,0.0,0.0,None
16:33:05.877,BUCK_CHG,5,46.86,29.05,0.0,0.0,None
16:33:05.977,BUCK_CHG,5,46.84,29.05,0.0,0.0,None
16:33:06.078,BUCK_CHG,5,46.91,29.05,0.0,0.0,None
16:33:06.178,BUCK_CHG,5,46.89,29.05,0.0,0.0,None
16:33:06.279,BUCK_CHG,5,46.84,29.05,0.0,0.0,None
16:33:06.379,BUCK_CHG,5,46.89,29.07,0.0,0.0,None
16:33:06.479,BUCK_CHG,5,46.86,29.04,0.0,0.0,None
16:33:06.580,BUCK_CHG,5,46.84,29.05,0.0,0.0,None
16:33:06.680,BUCK_CHG,5,46.89,29.05,0.0,0.0,None
16:33:06.781,BUCK_CHG,5,46.94,29.05,0.0,0.0,None
16:33:06.881,BUCK_CHG,5,46.89,29.05,0.0,0.0,None
16:33:06.982,BUCK_CHG,5,46.89,29.07,0.0,0.0,None
16:33:07.083,BUCK_CHG,5,46.81,29.05,0.0,0.0,None
16:33:07.183,BUCK_CHG,5,46.76,29.05,0.0,0.0,None
16:33:07.283,BUCK_CHG,5,46.86,29.05,0.0,0.0,None
