Timestamp,Sequence,Mode,HS_V,LS_V,HS_A,LS_A,Faults
15:54:55.054,BUCK,0,0,0,0,0,None
15:54:55.154,BUCK,1,47.39,28.46,0.1,0.6,None
15:54:55.254,BUCK,2,44.45,34.15,22.1,28.6,None
15:54:55.355,BUCK,2,44.5,34.17,22.0,28.6,None
15:54:55.455,BUCK,2,44.5,34.17,22.1,28.6,None
15:54:55.555,BUCK,2,44.52,34.17,22.0,28.6,None
15:54:55.656,BUCK,2,44.55,34.18,22.1,28.6,None
15:54:55.757,BUCK,2,44.32,34.18,22.5,28.6,None
15:54:55.857,BUCK,2,44.32,34.17,22.4,28.6,None
15:54:55.958,BUCK,2,44.32,34.18,22.5,28.6,None
15:54:56.058,BUCK,2,44.29,34.2,22.5,28.6,None
15:54:56.159,BUCK,2,44.29,34.2,22.5,28.6,None
15:54:56.259,BUCK,2,44.32,34.2,22.5,28.6,None
15:54:56.360,BUCK,2,44.32,34.21,22.5,28.6,None
15:54:56.460,BUCK,2,44.29,34.21,22.4,28.5,None
15:54:56.561,BUCK,2,44.35,34.21,22.5,28.6,None
15:54:56.661,BUCK,2,44.29,34.21,22.5,28.6,None
15:54:56.762,BUCK,2,44.32,34.2,22.5,28.6,None
15:54:56.862,BUCK,2,44.35,34.17,22.5,28.5,None
15:54:56.963,BUCK,2,44.32,34.18,22.4,28.5,None
15:54:57.064,BUCK,2,44.32,34.18,22.5,28.6,None
15:54:57.165,BUCK,2,44.35,34.2,22.4,28.6,None
15:54:57.265,BUCK,2,44.35,34.2,22.5,28.6,None
15:54:57.365,BUCK,2,44.32,34.2,22.5,28.6,None
15:54:57.467,BUCK,2,44.35,34.2,22.5,28.5,None
15:54:57.568,BUCK,2,44.35,34.21,22.5,28.6,None
15:54:57.668,BUCK,2,44.35,34.27,22.5,28.6,None
15:54:57.769,BUCK,2,44.35,34.28,22.5,28.6,None
15:54:57.869,BUCK,2,44.35,34.23,22.5,28.6,None
15:54:57.970,BUCK,2,44.35,34.23,22.5,28.6,None
15:54:58.071,BUCK,2,44.32,34.24,22.5,28.5,None
15:54:58.171,BUCK,2,44.35,34.24,22.5,28.6,None
15:54:58.271,BUCK,2,44.35,34.24,22.6,28.6,None
15:54:58.371,BUCK,2,44.32,34.24,22.5,28.6,None
15:54:58.472,BUCK,2,44.35,34.24,22.5,28.6,None
15:54:58.573,BUCK,2,44.35,34.26,22.5,28.5,None
15:54:58.673,BUCK,2,44.32,34.27,22.5,28.6,None
15:54:58.774,BUCK,2,44.32,34.27,22.5,28.6,None
15:54:58.875,BUCK,2,44.32,34.33,22.6,28.6,None
15:54:58.975,BUCK,2,44.32,34.28,22.5,28.5,None
15:54:59.075,BUCK,2,44.32,34.28,22.5,28.6,None
15:54:59.176,BUCK,2,44.32,34.28,22.5,28.6,None
15:54:59.277,BUCK,2,44.35,34.3,22.5,28.6,None
15:54:59.378,BUCK,2,44.35,34.3,22.5,28.6,None
15:54:59.478,BUCK,2,44.45,34.28,22.8,28.6,None
15:54:59.578,BUCK,2,47.51,38.43,0.1,0.0,None
15:54:59.678,BUCK,2,47.46,38.0,0.1,0.0,None
15:54:59.778,BUCK,2,47.46,37.61,0.1,0.0,None
15:54:59.879,BUCK,2,47.44,37.23,0.1,0.0,None
15:54:59.979,BUCK,2,47.44,36.86,0.0,0.0,None
15:55:00.079,BOOST,2,47.44,36.5,0.1,0.0,None
15:55:00.179,BOOST,3,51.42,21.9,-12.1,-28.3,None
15:55:00.280,BOOST,3,51.35,21.84,-12.1,-28.3,None
15:55:00.380,BOOST,3,51.32,21.8,-12.0,-28.4,None
15:55:00.481,BOOST,3,51.27,21.76,-12.0,-28.4,None
15:55:00.581,BOOST,3,51.24,21.73,-12.1,-28.4,None
15:55:00.682,BOOST,3,51.22,21.71,-12.0,-28.4,None
15:55:00.782,BOOST,3,51.19,21.7,-12.0,-28.3,None
15:55:00.882,BOOST,3,51.19,21.7,-12.0,-28.3,None
15:55:00.982,BOOST,3,51.17,21.68,-12.1,-28.4,None
15:55:01.082,BOOST,3,51.19,21.68,-12.0,-28.4,None
15:55:01.184,BOOST,3,51.98,22.41,-12.2,-28.2,None
15:55:01.285,BOOST,3,51.98,22.41,-12.1,-28.2,None
15:55:01.386,BOOST,3,51.98,22.39,-12.2,-28.2,None
15:55:01.486,BOOST,3,51.98,22.39,-12.2,-28.3,None
15:55:01.586,BOOST,3,51.98,22.39,-12.2,-28.3,None
15:55:01.686,BOOST,3,51.98,22.39,-12.2,-28.3,None
15:55:01.787,BOOST,3,51.98,22.39,-12.1,-28.2,None
15:55:01.887,BOOST,3,51.98,22.38,-12.2,-28.2,None
15:55:01.987,BOOST,3,51.98,22.38,-12.1,-28.3,None
15:55:02.088,BOOST,3,51.98,22.38,-12.2,-28.4,None
15:55:02.189,BOOST,3,51.96,22.36,-12.2,-28.3,None
15:55:02.289,BOOST,3,51.96,22.36,-12.2,-28.3,None
15:55:02.389,BOOST,3,51.96,22.35,-12.2,-28.3,None
15:55:02.489,BOOST,3,51.96,22.35,-12.2,-28.4,None
15:55:02.589,BOOST,3,51.98,22.35,-12.2,-28.4,None
15:55:02.690,BOOST,3,51.98,22.42,-12.2,-28.3,None
15:55:02.791,BOOST,3,51.98,22.42,-12.2,-28.2,None
15:55:02.891,BOOST,3,51.98,22.42,-12.2,-28.2,None
15:55:02.991,BOOST,3,51.98,22.41,-12.2,-28.2,None
15:55:03.092,BOOST,3,51.98,22.41,-12.2,-28.3,None
15:55:03.192,BOOST,3,51.96,22.39,-12.2,-28.3,None
15:55:03.293,BOOST,3,51.98,22.39,-12.2,-28.2,None
15:55:03.393,BOOST,3,51.98,22.39,-12.2,-28.2,None
15:55:03.494,BOOST,3,51.98,22.39,-12.2,-28.2,None
15:55:03.595,BOOST,3,51.98,22.36,-12.2,-28.4,None
15:55:03.697,BOOST,3,51.93,22.31,-12.2,-28.3,None
15:55:03.797,BOOST,3,51.98,22.38,-12.2,-28.3,None
15:55:03.898,BOOST,3,51.98,22.36,-12.1,-28.4,None
15:55:03.998,BOOST,3,51.96,22.36,-12.2,-28.4,None
15:55:04.098,BOOST,3,51.96,22.36,-12.2,-28.3,None
15:55:04.199,BOOST,3,51.98,22.36,-12.2,-28.3,None
15:55:04.300,BOOST,3,51.96,22.35,-12.2,-28.3,None
15:55:04.400,BOOST,3,51.96,22.35,-12.1,-28.4,None
15:55:04.501,BOOST,3,51.98,22.35,-12.2,-28.4,None
15:55:04.602,BOOST,3,51.96,22.35,-12.4,-28.3,None
15:55:04.703,BOOST,3,51.96,22.33,-12.2,-28.3,None
15:55:05.279,BOOST,3,51.6,19.79,0.0,0.0,None
15:55:05.879,BOOST,5,47.46,18.16,0.0,0.0,None
15:55:06.479,BOOST,5,47.54,17.78,0.0,0.0,None
15:55:07.079,BOOST,5,47.46,17.41,0.0,0.0,None
15:55:07.679,BOOST,5,47.39,17.03,0.0,0.0,None
15:55:08.279,BOOST,5,47.33,16.64,0.0,0.0,None
15:55:08.380,BOOST,3,51.96,22.45,-12.2,-28.2,None
15:55:08.480,BOOST,3,51.96,22.38,-12.2,-28.3,None
15:55:08.581,BOOST,3,51.96,22.35,-12.2,-28.3,None
15:55:08.681,BOOST,3,51.96,22.33,-12.2,-28.4,None
15:55:08.782,BOOST,3,51.93,22.33,-12.2,-28.4,None
15:55:08.882,BOOST,3,51.93,22.32,-12.2,-28.4,None
15:55:08.984,BOOST,3,51.93,22.31,-12.2,-28.3,None
15:55:09.084,BOOST,3,51.91,22.31,-12.2,-28.3,None
15:55:09.185,BOOST,3,51.91,22.31,-12.2,-28.3,None
15:55:09.285,BOOST,3,51.91,22.29,-12.2,-28.4,None
15:55:09.386,BOOST,3,51.86,22.25,-12.2,-28.4,None
15:55:09.486,BOOST,3,51.86,22.23,-12.1,-28.3,None
15:55:09.587,BOOST,3,51.91,22.28,-12.2,-28.3,None
15:55:09.688,BOOST,3,51.88,22.28,-12.2,-28.4,None
15:55:09.788,BOOST,3,51.88,22.28,-12.1,-28.4,None
15:55:09.889,BOOST,3,51.91,22.29,-12.2,-28.4,None
15:55:09.990,BOOST,3,51.91,22.29,-12.2,-28.4,None
15:55:10.090,BOOST,3,51.88,22.28,-12.1,-28.4,None
15:55:10.191,BOOST,3,51.88,22.28,-12.4,-28.3,None
15:55:10.291,BOOST,3,51.88,22.28,-12.2,-28.4,None
15:55:10.391,BOOST,3,51.88,22.28,-12.2,-28.4,None
15:55:10.492,BOOST,3,51.88,22.28,-12.2,-28.4,None
15:55:10.592,BOOST,3,51.83,22.22,-12.2,-28.4,None
15:55:10.693,BOOST,3,51.83,22.22,-12.1,-28.3,None
15:55:10.793,BOOST,3,51.91,22.28,-12.2,-28.4,None
15:55:10.894,BOOST,3,51.91,22.28,-12.1,-28.4,None
15:55:10.994,BOOST,3,51.88,22.28,-12.2,-28.4,None
