Timestamp,Sequence,Mode,HS_V,LS_V,HS_A,LS_A,Faults
15:39:02.291,BOOST_DIS,0,0,0,0,0,None
15:39:02.392,BOOST_DIS,5,22.68,29.1,0.0,0.0,None
15:39:02.492,BOOST_DIS,5,22.68,29.1,0.0,0.0,None
15:39:02.593,BOOST_DIS,5,22.68,29.1,0.0,0.0,None
15:39:02.693,BOOST_DIS,5,22.68,29.1,0.0,0.0,None
15:39:02.793,BOOST_DIS,5,22.68,29.1,0.0,0.0,None
15:39:02.894,BOOST_DIS,5,22.68,29.1,0.0,0.0,None
15:39:02.994,BOOST_DIS,5,22.68,29.1,0.0,0.0,None
15:39:03.094,BOOST_DIS,5,22.68,29.1,0.0,0.0,None
15:39:03.195,BOOST_DIS,5,22.68,29.1,0.0,0.0,None
15:39:03.296,BOOST_DIS,5,22.68,29.1,0.0,0.0,None
15:39:03.397,BOOST_DIS,5,22.68,29.1,0.0,0.0,None
15:39:03.497,BOOST_DIS,5,22.68,29.1,0.0,0.0,None
15:39:03.599,BOOST_DIS,5,22.68,29.1,0.0,0.0,None
15:39:03.699,BOOST_DIS,5,22.68,29.1,0.0,0.0,None
15:39:03.800,BOOST_DIS,5,22.68,29.1,0.0,0.0,None
15:39:03.900,BOOST_DIS,5,22.68,29.1,0.0,0.0,None
15:39:04.001,BOOST_DIS,5,22.68,29.1,0.0,0.0,None
15:39:04.102,BOOST_DIS,5,22.68,29.1,0.0,0.0,None
15:39:04.203,BOOST_DIS,5,22.68,29.1,0.0,0.0,None
15:39:04.303,BOOST_DIS,5,22.68,29.1,0.0,0.0,None
