Timestamp,Calex_Seq,Calex_Mode,HS_V,LS_V,HS_A,LS_A,Calex_Faults
15:37:17.962,BOOST,1,47.36,28.56,0.0,0.0,None
15:37:18.072,BOOST,3,48.15,26.76,-4.8,-7.8,None
15:37:18.172,BOOST,3,48.08,26.74,-4.8,-7.7,None
15:37:18.272,BOOST,3,48.08,26.74,-4.8,-7.8,None
15:37:18.372,BOOST,3,48.05,26.74,-4.8,-7.8,None
15:37:18.473,BOOST,3,48.05,26.74,-4.8,-7.8,None
15:37:18.592,BOOST,3,48.05,26.73,-4.8,-7.8,None
15:37:18.702,BOOST,3,48.05,26.74,-4.8,-7.7,None
15:37:18.812,BOOST,3,48.08,26.74,-4.8,-7.7,None
15:37:18.912,BOOST,3,48.08,26.74,-4.8,-7.8,None
15:37:19.012,BOOST,3,48.1,26.74,-4.8,-7.7,None
15:37:19.122,BOOST,3,48.1,26.74,-4.8,-7.7,None
15:37:19.222,BOOST,3,48.1,26.74,-4.8,-7.7,None
15:37:19.322,BOOST,3,48.08,26.74,-4.8,-7.8,None
15:37:19.424,BOOST,3,48.1,26.73,-5.0,-7.8,None
15:37:19.532,BOOST,3,48.1,26.74,-4.8,-7.7,None
15:37:19.642,BOOST,3,48.1,26.73,-4.8,-7.8,None
15:37:19.752,BOOST,3,48.1,26.73,-4.8,-7.7,None
15:37:19.862,BOOST,3,48.08,26.73,-4.8,-7.8,None
15:37:19.962,BOOST,3,48.1,26.73,-4.8,-7.8,None
15:37:20.062,BOOST,3,48.1,26.73,-4.8,-7.8,None
15:37:20.172,BOOST,3,48.1,26.73,-5.0,-7.7,None
15:37:20.272,BOOST,3,48.1,26.73,-5.0,-7.7,None
15:37:20.372,BOOST,3,48.1,26.71,-4.8,-7.8,None
15:37:20.472,BOOST,3,48.05,26.73,-4.8,-7.8,None
15:37:20.572,BOOST,3,48.05,26.71,-4.8,-7.7,None
15:37:20.672,BOOST,3,48.08,26.71,-5.0,-7.7,None
15:37:20.782,BOOST,3,48.08,26.71,-4.8,-7.8,None
15:37:20.883,BOOST,3,48.05,26.71,-4.8,-7.8,None
15:37:20.992,BOOST,3,48.05,26.71,-5.0,-7.8,None
15:37:21.102,BOOST,3,48.05,26.71,-5.0,-7.8,None
15:37:21.212,BOOST,3,48.05,26.71,-5.0,-7.7,None
15:37:21.322,BOOST,3,48.05,26.71,-5.0,-7.8,None
15:37:21.422,BOOST,3,48.05,26.71,-4.8,-7.7,None
15:37:21.532,BOOST,3,48.1,26.71,-4.8,-7.7,None
15:37:21.642,BOOST,3,48.1,26.71,-4.8,-7.7,None
15:37:21.742,BOOST,3,48.08,26.71,-4.8,-7.8,None
15:37:21.852,BOOST,3,48.1,26.71,-4.8,-7.7,None
15:37:21.952,BOOST,3,48.13,26.71,-4.8,-7.8,None
15:37:22.062,BOOST,3,48.1,26.71,-4.8,-7.8,None
15:37:22.172,BOOST,3,48.13,26.71,-4.8,-7.8,None
15:37:22.272,BOOST,3,48.08,26.71,-4.8,-7.8,None
15:37:22.372,BOOST,3,48.08,26.7,-4.8,-7.8,None
15:37:22.472,BOOST,3,48.1,26.7,-5.0,-7.8,None
15:37:22.582,BOOST,3,48.1,26.7,-4.8,-7.8,None
15:37:22.672,BOOST,3,48.08,26.7,-4.8,-7.8,None
15:37:22.792,BOOST,3,48.05,26.68,-5.0,-7.8,None
15:37:22.902,BUCK,3,48.05,26.7,-5.0,-7.7,None
15:37:23.012,BUCK,2,46.49,30.11,5.5,8.1,None
15:37:23.112,BUCK,2,46.49,30.12,5.5,8.1,None
15:37:23.222,BUCK,2,46.49,30.12,5.7,8.1,None
15:37:23.322,BUCK,2,46.49,30.12,5.5,8.1,None
15:37:23.422,BUCK,2,46.52,30.12,5.5,8.1,None
15:37:23.522,BUCK,2,46.49,30.12,5.5,8.1,None
15:37:23.632,BUCK,2,46.52,30.14,5.5,8.1,None
15:37:23.742,BUCK,2,46.52,30.14,5.5,8.1,None
15:37:23.842,BUCK,2,46.52,30.12,5.5,8.1,None
15:37:23.942,BUCK,2,46.52,30.14,5.5,8.1,None
15:37:24.042,BUCK,2,46.52,30.14,5.5,8.1,None
15:37:24.152,BUCK,2,46.57,30.14,5.7,8.1,None
15:37:24.262,BUCK,2,46.59,30.14,5.7,8.2,None
15:37:24.362,BUCK,2,46.57,30.14,5.5,8.1,None
15:37:24.472,BUCK,2,46.57,30.15,5.7,8.1,None
15:37:24.572,BUCK,2,46.57,30.15,5.5,8.1,None
15:37:24.672,BUCK,2,46.54,30.14,5.5,8.1,None
15:37:24.772,BUCK,2,46.57,30.15,5.5,8.1,None
15:37:24.872,BUCK,2,46.59,30.15,5.7,8.1,None
15:37:24.982,BUCK,2,46.59,30.15,5.7,8.1,None
15:37:25.092,BUCK,2,46.54,30.15,5.5,8.1,None
15:37:25.202,BUCK,2,46.54,30.15,5.5,8.1,None
15:37:25.302,BUCK,2,46.54,30.15,5.5,8.1,None
15:37:25.412,BUCK,2,46.52,30.15,5.5,8.1,None
15:37:25.512,BUCK,2,46.54,30.15,5.5,8.1,None
15:37:25.622,BUCK,2,46.54,30.17,5.5,8.1,None
15:37:25.722,BUCK,2,46.54,30.17,5.5,8.1,None
15:37:25.832,BUCK,2,46.54,30.15,5.4,8.1,None
15:37:25.932,BUCK,2,46.52,30.15,5.5,8.1,None
15:37:26.042,BUCK,2,46.52,30.17,5.7,8.1,None
15:37:26.142,BUCK,2,46.52,30.15,5.5,8.1,None
15:37:26.242,BUCK,2,46.52,30.17,5.5,8.1,None
15:37:26.352,BUCK,2,46.54,30.17,5.5,8.2,None
15:37:26.462,BUCK,2,46.54,30.17,5.7,8.1,None
15:37:26.572,BUCK,2,46.57,30.17,5.7,8.1,None
15:37:26.672,BUCK,2,46.52,30.17,5.5,8.1,None
15:37:26.772,BUCK,2,46.59,30.17,5.7,8.1,None
15:37:26.872,BUCK,2,46.59,30.17,5.5,8.1,None
15:37:26.972,BUCK,2,46.59,30.18,5.5,8.1,None
15:37:27.092,BUCK,2,46.57,30.18,5.5,8.1,None
15:37:27.192,BUCK,2,46.59,30.17,5.7,8.1,None
15:37:27.302,BUCK,2,46.57,30.18,5.5,8.1,None
15:37:27.402,BUCK,2,46.57,30.18,5.5,8.1,None
15:37:27.512,BUCK,2,46.57,30.18,5.7,8.1,None
15:37:27.612,BUCK,2,46.57,30.18,5.7,8.1,None
15:37:27.722,BUCK,2,46.59,30.18,5.5,8.2,None
15:37:27.822,BUCK,2,46.57,30.18,5.5,8.2,None
15:37:27.932,BOOST,2,47.41,28.56,0.0,0.0,None
15:37:28.032,BOOST,3,48.05,26.77,-4.8,-7.8,None
15:37:28.142,BOOST,3,48.05,26.77,-5.0,-7.8,None
15:37:28.252,BOOST,3,48.05,26.77,-4.8,-7.8,None
15:37:28.352,BOOST,3,48.05,26.77,-4.8,-7.8,None
15:37:28.462,BOOST,3,48.02,26.76,-5.0,-7.8,None
15:37:28.572,BOOST,3,48.02,26.74,-5.0,-7.7,None
15:37:28.672,BOOST,3,48.05,26.76,-4.8,-7.8,None
15:37:28.772,BOOST,3,48.05,26.74,-5.0,-7.7,None
15:37:28.872,BOOST,3,48.08,26.74,-4.8,-7.8,None
15:37:28.972,BOOST,3,48.05,26.74,-4.8,-7.7,None
15:37:29.082,BOOST,3,48.08,26.74,-4.8,-7.7,None
15:37:29.192,BOOST,3,48.08,26.74,-4.8,-7.7,None
15:37:29.292,BOOST,3,48.08,26.74,-5.0,-7.7,None
15:37:29.402,BOOST,3,48.08,26.74,-4.8,-7.8,None
15:37:29.502,BOOST,3,48.08,26.74,-5.0,-7.8,None
15:37:29.612,BOOST,3,48.08,26.74,-5.0,-7.8,None
15:37:29.722,BOOST,3,48.1,26.74,-4.8,-7.8,None
15:37:29.822,BOOST,3,48.1,26.74,-4.8,-7.7,None
15:37:29.922,BOOST,3,48.1,26.74,-4.8,-7.7,None
15:37:30.032,BOOST,3,48.05,26.73,-5.0,-7.8,None
15:37:30.132,BOOST,3,48.05,26.73,-5.0,-7.8,None
15:37:30.232,BOOST,3,48.05,26.73,-5.0,-7.7,None
15:37:30.342,BOOST,3,48.08,26.73,-5.0,-7.7,None
15:37:30.442,BOOST,3,48.05,26.73,-5.0,-7.8,None
15:37:30.542,BOOST,3,48.05,26.73,-4.8,-7.8,None
15:37:30.652,BOOST,3,48.02,26.73,-4.8,-7.7,None
15:37:30.752,BOOST,3,48.05,26.73,-5.0,-7.8,None
15:37:30.862,BOOST,3,48.02,26.73,-5.0,-7.8,None
15:37:30.972,BOOST,3,48.02,26.71,-4.8,-7.8,None
15:37:31.072,BOOST,3,48.05,26.73,-5.0,-7.7,None
15:37:31.172,BOOST,3,48.02,26.71,-4.8,-7.8,None
15:37:31.272,BOOST,3,48.05,26.71,-4.8,-7.8,None
15:37:31.382,BOOST,3,48.05,26.71,-4.8,-7.7,None
15:37:31.492,BOOST,3,48.05,26.71,-4.8,-7.7,None
15:37:31.602,BOOST,3,48.08,26.71,-5.0,-7.8,None
15:37:31.702,BOOST,3,48.05,26.71,-4.8,-7.7,None
15:37:31.812,BOOST,3,48.1,26.71,-4.8,-7.8,None
15:37:31.912,BOOST,3,48.1,26.71,-4.8,-7.7,None
15:37:32.022,BOOST,3,48.1,26.73,-4.8,-7.7,None
15:37:32.122,BOOST,3,48.1,26.71,-4.8,-7.7,None
15:37:32.232,BOOST,3,48.05,26.7,-4.8,-7.8,None
15:37:32.332,BOOST,3,48.08,26.71,-4.8,-7.7,None
15:37:32.442,BOOST,3,48.08,26.71,-4.8,-7.7,None
15:37:32.542,BOOST,3,48.08,26.71,-4.8,-7.7,None
15:37:32.652,BOOST,3,48.05,26.71,-4.8,-7.8,None
15:37:32.762,BOOST,3,48.05,26.71,-4.8,-7.7,None
15:37:32.872,BOOST,3,48.02,26.71,-4.8,-7.7,None
15:37:32.972,BUCK,3,48.05,26.7,-5.0,-7.7,None
15:37:33.082,BUCK,2,46.47,30.12,5.5,8.1,None
15:37:33.192,BUCK,2,46.47,30.12,5.5,8.1,None
15:37:33.302,BUCK,2,46.49,30.12,5.5,8.1,None
15:37:33.402,BUCK,2,46.52,30.12,5.5,8.1,None
15:37:33.512,BUCK,2,46.52,30.12,5.7,8.1,None
